OID_,VALUE,Freq,CLASSNAMES,R,G,B,RED,GREEN,BLUE,ACRES,REL_PERCENT
60,217,24553,Shrub Height = 1.7 meters,186,89,67,0.729412,0.34902,0.262745,5450.766,0.016654595
61,218,25324,Shrub Height = 1.8 meters,184,83,62,0.721569,0.32549,0.243137,5621.928,0.017177574
62,219,17595,Shrub Height = 1.9 meters,184,79,61,0.721569,0.309804,0.239216,3906.09,0.0119349
63,220,19679,Shrub Height = 2.0 meters,181,72,58,0.709804,0.282353,0.227451,4368.738,0.013348502
64,221,15034,Shrub Height = 2.1 meters,179,68,55,0.701961,0.266667,0.215686,3337.548,0.010197743
65,222,8270,Shrub Height = 2.2 meters,176,61,51,0.690196,0.239216,0.2,1835.94,0.00560964
66,223,4702,Shrub Height = 2.3 meters,173,57,49,0.678431,0.223529,0.192157,1043.844,0.003189423
67,224,3914,Shrub Height = 2.4 meters,173,51,47,0.678431,0.2,0.184314,868.908,0.002654913
68,225,1310,Shrub Height = 2.5 meters,171,47,44,0.670588,0.184314,0.172549,290.82,0.000888589
69,226,1395,Shrub Height = 2.6 meters,168,39,41,0.658824,0.152941,0.160784,309.69,0.000946245
70,227,277,Shrub Height = 2.7 meters,166,33,40,0.65098,0.129412,0.156863,61.494,0.000187892
71,228,1889,Shrub Height = 2.8 meters,163,26,38,0.639216,0.101961,0.14902,419.358,0.001281331
72,229,29,Shrub Height = 2.9 meters,161,18,34,0.631373,0.070588,0.133333,6.438,1.9671E-05
73,230,709,Shrub Height >= 3.0 meters,158,0,32,0.619608,0,0.12549,157.398,0.000480923
74,301,82026,Herb Height = 0.1 meter,255,204,102,1,0.8,0.4,18209.772,0.055639222
75,302,7225360,Herb Height = 0.2 meter,255,186,89,1,0.729412,0.34902,1604029.92,4.901048545
76,303,5474389,Herb Height = 0.3 meter,255,169,77,1,0.662745,0.301961,1215314.358,3.713343867
77,304,1005079,Herb Height = 0.4 meter,255,150,64,1,0.588235,0.25098,223127.538,0.681757168
78,305,153080,Herb Height = 0.5 meter,255,133,51,1,0.521569,0.2,33983.76,0.103836004
79,306,118325,Herb Height = 0.6 meter,255,112,41,1,0.439216,0.160784,26268.15,0.08026127
80,307,9,Herb Height = 0.7 meter,255,92,28,1,0.360784,0.109804,1.998,6.10481E-06
81,308,669,Herb Height = 0.8 meter,255,73,18,1,0.286275,0.070588,148.518,0.000453791
