"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"65",221,15093,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,3357,0
"66",222,8311,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,1848,0
"67",223,4710,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,1047,0
"68",224,3927,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,873,0
"69",225,1312,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,292,0
"70",226,1399,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,311,0
"71",227,278,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,62,0
"72",228,1891,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,421,0
"73",229,29,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,6,0
"74",230,709,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,158,0
